,BARRIO,comuna,area,poblacion,valorxm2,densidad_poblacion,score_poblacion,score_valuacion,score_valuacion_inv,cant_escuelas,centros_ed_x_densidad_pobl,score_educacion,cant_hospitales,centrosalud_x_densidad_pobl,score_salud,cant_anclajes_bici,densidad_bicis,score_bici,cant_estaciones_stc,densidad_stc,score_transporte,m2verdes,densidad_verde,score_verde,cant_delitos,grado_delincuencia,comisarias,comisarias_porkm2,score_comisarias,score_delitos,score_delitos_inv,densidad_accidentes,acc_km_hab,por_acc_hab_km2,score_accidentes,score_accidentes_inv,cant_locales_gast,densidad_locales_gast,score_esparcimiento,cant_bp,habitantes_bp,score_barriospop,score_barriospop_inv
0,CHACARITA,15,3.12,27761,2246,8910.015946022077,1,2,4,35,0.003928163564693275,3,1,0.00011223324470552212,3,92.0,0.0033140016570008283,4,188,6.033943294017328e-05,5,93385.211,0.029972397216693782,3,920,51.7,1.0,0.3,3,1,5,8955.2,4.8,2.27,2,4,18.0,5.769230769230769,3,2.0,2871.0,3,3
1,PATERNAL,15,2.23,19717,1874,8842.381950647648,1,4,2,26,0.002940384179864077,2,2,0.0002261833984510828,4,36.0,0.001825835573363088,3,53,2.376863840261325e-05,1,81800.308,0.03668456494479985,4,385,26.8,0.0,0.0,1,4,2,8962.3,6.1,2.9,1,5,2.0,0.8968609865470852,1,0.0,0.0,5,1
2,VILLA CRESPO,15,3.62,81959,2309,22665.79333610599,5,2,4,68,0.0030001155923220146,3,2,8.823869389182397e-05,2,168.0,0.002049805390500128,3,204,5.641627936609307e-05,4,12319.446000000002,0.003406947584174009,1,1878,32.9,1.0,0.3,3,3,3,22766.4,3.7,1.77,2,4,44.0,12.154696132596685,4,0.0,0.0,5,1
3,VILLA DEL PARQUE,11,3.4,55273,2097,16258.698336234223,4,3,3,45,0.0027677492422448573,2,1,6.15055387165524e-05,1,0.0,0.0,1,117,3.4415857748618763e-05,2,16665.377999999993,0.004902164774144961,1,818,19.3,0.0,0.0,1,5,1,16256.8,2.1,0.99,4,2,9.0,2.6470588235294117,1,0.0,0.0,5,1
4,ALMAGRO,5,4.05,131699,2132,32512.232796947337,5,3,3,143,0.004398344490613596,3,7,0.0002153035764636026,3,180.0,0.0013667529745859876,3,265,6.541994769277707e-05,5,9198.799,0.0022708866015712066,1,2747,31.8,1.0,0.2,1,3,3,32121.7,2.0,0.95,4,2,63.0,15.555555555555555,5,0.0,0.0,5,1
5,CABALLITO,6,6.85,176076,2410,25700.66514406938,5,1,5,150,0.00583642482243747,4,9,0.0003501854893462482,4,220.0,0.0012494604602557987,3,371,5.415244989918978e-05,4,215874.599,0.031509807026563835,4,3050,25.3,3.0,0.4,4,4,2,25518.3,1.0,0.5,5,1,125.0,18.248175182481752,5,1.0,165.0,5,1
6,VILLA SANTA RITA,11,2.15,33325,1764,15473.437410030268,4,5,1,23,0.0014864182657365339,1,4,0.00025850752447591896,4,20.0,0.0006001500375093774,2,68,3.157370574289747e-05,1,355.2050000000001,0.00016492850218243968,1,568,23.7,0.0,0.0,1,4,2,15147.7,4.4,2.09,2,4,4.0,1.8604651162790697,1,0.0,0.0,5,1
7,MONTE CASTRO,10,2.63,33623,2100,12796.665642895205,3,3,3,37,0.002891378194330072,2,3,0.00023443606981054634,4,0.0,0.0,1,76,2.8925039076228637e-05,1,26018.578,0.009902478754709246,2,497,18.4,0.0,0.0,1,5,1,12931.9,2.1,1.0,4,2,15.0,5.7034220532319395,3,0.0,0.0,5,1
8,VILLA REAL,10,1.33,13419,2106,10058.118951663466,2,3,3,14,0.0013919103628899322,1,1,9.94221687778523e-05,2,0.0,0.0,1,63,4.722121573550923e-05,4,1107930.6359999995,0.8304417711513641,5,186,15.8,0.0,0.0,1,5,1,10322.3,18.2,8.68,1,5,4.0,3.007518796992481,2,0.0,0.0,5,1
9,FLORES,7,8.59,164310,1961,19126.30994899962,5,3,3,140,0.0073197600777834574,5,9,0.00047055600500036526,5,152.0,0.0009250806402531801,2,337,3.922808382212204e-05,3,214981.012,0.02502460878012055,3,3424,32.7,2.0,0.2,1,3,3,19105.8,1.1,0.52,5,1,85.0,9.89522700814901,4,2.0,46695.0,1,5
10,FLORESTA,10,2.32,37575,1921,16191.64889464989,4,4,2,51,0.003149771856580439,3,1,6.176023248196939e-05,1,20.0,0.0005322687957418496,2,120,5.170985674938089e-05,4,19737.558,0.008505219139688304,2,852,29.4,1.0,0.4,4,3,3,16337.0,6.1,2.89,1,5,13.0,5.603448275862069,3,0.0,0.0,5,1
11,CONSTITUCION,1,2.1,44107,1554,20983.399122851843,5,5,1,47,0.0022398658923098373,2,1,4.765672111297527e-05,1,92.0,0.002085836715260616,4,255,0.00012131332387891309,5,70559.433,0.03356784058133909,4,1909,73.2,2.0,1.0,5,1,5,21003.3,11.0,5.25,1,5,30.0,14.285714285714285,4,0.0,0.0,5,1
12,SAN CRISTOBAL,3,2.04,48611,1891,23785.65125217688,5,4,2,60,0.002522529207372817,2,3,0.00012612646036864084,3,60.0,0.0012342885355166526,3,151,7.388519757007075e-05,5,15241.867999999995,0.007457936612694959,2,1356,41.1,1.0,0.5,4,2,4,24305.5,8.6,4.11,1,5,9.0,4.411764705882353,2,0.0,0.0,5,1
13,BOEDO,5,2.61,47306,1973,18125.93982929764,4,3,3,35,0.0019309343586934008,1,1,5.516955310552574e-05,1,72.0,0.0015220056652433095,3,159,6.092302103027787e-05,5,12126.600999999995,0.004646472753137034,1,1212,36.5,1.0,0.4,4,2,4,18194.6,4.8,2.29,2,4,14.0,5.363984674329502,3,0.0,0.0,5,1
14,VELEZ SARSFIELD,10,2.4,35081,1957,14613.927175537725,3,3,3,33,0.0022581199155856445,2,1,6.8427876229868e-05,1,0.0,0.0,1,119,4.957262717393999e-05,4,28238.800000000007,0.011763626086045855,2,523,21.2,0.0,0.0,1,5,1,14617.1,3.8,1.82,2,4,13.0,5.416666666666667,3,0.0,0.0,5,1
15,VILLA LURO,10,2.57,32502,2391,12661.78391376603,3,2,4,27,0.0021324009463346873,1,1,7.897781282721065e-05,2,0.0,0.0,1,100,3.895693776926353e-05,3,32149.229000000007,0.01252435513482802,2,538,21.4,1.0,0.4,4,4,2,12500.8,4.1,1.94,2,4,3.0,1.1673151750972763,1,0.0,0.0,5,1
16,PARQUE PATRICIOS,4,3.74,40985,1637,10948.485895023596,2,5,1,66,0.006028230810435525,4,7,0.0006393578132280102,5,116.0,0.0028303037696718308,4,188,5.022118697729501e-05,4,249273.96199999997,0.06658954390517621,5,1273,48.6,1.0,0.3,3,1,5,11077.0,3.5,1.65,3,3,37.0,9.893048128342246,4,0.0,0.0,5,1
17,MATADEROS,9,7.4,64436,1836,8709.711050584929,1,4,2,68,0.007807377260286175,5,4,0.0004592574858991868,5,0.0,0.0,1,244,3.298108970672796e-05,2,116340.60000000002,0.01572557280792851,3,1671,37.0,1.0,0.1,1,2,4,8707.6,2.3,1.08,4,2,34.0,4.594594594594595,2,0.0,0.0,5,1
18,VILLA LUGANO,8,9.3,126374,1388,13594.241039674444,3,5,1,134,0.00985711520112998,5,12,0.0008827267344295506,5,0.0,0.0,1,324,3.485316676574707e-05,2,1204045.6479999998,0.1295209992694938,5,2462,31.3,2.0,0.2,1,3,3,13588.6,0.7,0.31,5,1,10.0,1.075268817204301,1,10.0,76461.0,1,5
19,SAN TELMO,1,1.23,20453,2121,16597.82139081681,4,3,3,38,0.0022894570983288515,2,1,6.024887100865399e-05,1,90.0,0.004400332469564367,4,98,7.9528015269156e-05,5,66733.83999999997,0.05415520251519807,4,672,48.9,1.0,0.8,5,1,5,17044.2,20.1,9.58,1,5,80.0,65.04065040650407,5,0.0,0.0,5,1
20,SAAVEDRA,12,5.54,50295,2367,9080.688676756115,1,2,4,51,0.0056163141161908745,4,2,0.00022024761239964209,4,44.0,0.0008748384531265534,2,208,3.755409573049552e-05,3,840890.5320000001,0.15182155546920822,5,1076,32.1,1.0,0.2,1,3,3,9144.5,2.6,1.22,3,3,25.0,4.512635379061372,2,0.0,0.0,5,1
21,COGHLAN,12,1.28,18604,2579,14534.927184609041,3,1,5,10,0.0006879979426789938,1,1,6.879979426789938e-05,1,44.0,0.0023650827778972264,4,48,3.750142468615534e-05,3,17422.862,0.013612128064797457,2,260,21.1,0.0,0.0,1,5,1,14310.8,3.0,1.44,3,3,5.0,3.90625,2,0.0,0.0,5,1
22,VILLA URQUIZA,12,5.45,91563,2523,16803.45198985482,4,1,5,81,0.004820438089084565,4,1,5.951158134672303e-05,1,84.0,0.0009174011336456867,2,216,3.963987232625232e-05,3,42746.20900000002,0.007844695681441199,2,1372,19.8,3.0,0.6,5,5,1,16956.1,1.1,0.51,5,1,27.0,4.954128440366972,3,0.0,0.0,5,1
23,COLEGIALES,13,2.29,52551,2532,22950.298853399,5,1,5,47,0.0020479036155574585,1,3,0.00013071725205685906,3,58.0,0.0011036897490057278,2,82,3.581139285605826e-05,2,49849.685,0.021770568942509203,3,834,25.0,0.0,0.0,1,4,2,22848.3,2.6,1.22,3,3,41.0,17.903930131004365,5,0.0,0.0,5,1
24,BALVANERA,3,4.34,138926,1812,31993.78930524625,5,5,1,164,0.00512599487467112,4,7,0.0002187924641627917,3,280.0,0.0020154614686955646,3,399,9.188720565476048e-05,5,30755.787000000004,0.007082865476548896,1,4502,46.9,3.0,0.7,5,1,5,32308.4,3.2,1.52,3,3,215.0,49.53917050691244,5,0.0,0.0,5,1
25,VILLA GRAL. MITRE,11,2.16,34713,1853,16053.923829383351,4,4,2,35,0.0021801523647408754,1,1,6.2290067564025e-05,1,36.0,0.0010370754472387863,2,79,3.653559134967547e-05,3,14182.663,0.006559138982508385,1,649,25.1,1.0,0.5,4,4,2,15778.6,5.5,2.63,2,4,5.0,2.314814814814815,1,0.0,0.0,5,1
26,PARQUE CHAS,15,1.39,17489,2151,12623.686050354394,3,3,3,9,0.0007129454870867403,1,2,0.00015843233046372002,3,20.0,0.0011435759620332779,2,42,3.0315902230824214e-05,1,5123.405,0.003698110596878949,1,254,18.2,0.0,0.0,1,5,1,12492.1,3.2,1.54,3,3,0.0,0.0,1,0.0,0.0,5,1
27,AGRONOMIA,15,2.12,13912,2166,6555.556017081191,1,2,4,21,0.003203389604982749,3,1,0.00015254236214203566,3,15.0,0.001078205865439908,2,31,1.4607693827596099e-05,1,2833.542000000001,0.001335210128504333,1,208,18.8,0.0,0.0,1,5,1,6624.8,5.4,2.56,2,4,3.0,1.4150943396226414,1,0.0,0.0,5,1
28,VILLA ORTUZAR,15,1.85,21736,2216,11725.092210464467,2,2,4,14,0.0011940204604536256,1,1,8.528717574668752e-05,2,34.0,0.0015642252484357748,3,94,5.070660046851583e-05,4,13436.444,0.007248046783250922,1,357,23.3,0.0,0.0,1,4,2,11440.0,4.7,2.25,2,4,20.0,10.81081081081081,4,0.0,0.0,5,1
29,BARRACAS,4,7.95,89452,2156,11246.938298086809,2,2,4,108,0.00960261336352949,5,13,0.0011558701270915127,5,84.0,0.0009390511112104817,2,275,3.457617528924867e-05,2,225939.63500000004,0.028407739725632236,3,2422,48.0,2.0,0.3,3,1,5,11181.5,1.3,0.6,5,1,49.0,6.163522012578616,3,8.0,44563.2,1,5
30,PARQUE AVELLANEDA,9,4.73,53229,1417,11247.048760641948,2,5,1,44,0.0039121373914527795,3,3,0.00026673664032632593,4,64.0,0.0012023521012981644,2,186,3.930096506564846e-05,3,537202.616,0.1135085013150052,5,1113,33.1,1.0,0.2,1,2,4,11325.3,1.5,0.7,5,1,14.0,2.9598308668076108,2,3.0,7078.5,2,4
31,PARQUE CHACABUCO,7,3.83,56281,1941,14686.661293862893,4,4,2,47,0.0032001827413041697,3,2,0.0001361779889916668,3,95.0,0.0016879586361294222,3,157,4.0969524762112873e-05,3,129775.942,0.03386534184264664,4,1536,46.4,0.0,0.0,1,2,4,14810.8,2.5,1.19,4,2,15.0,3.91644908616188,2,0.0,0.0,5,1
32,NUEVA POMPEYA,4,4.95,42695,1276,8622.620667534033,1,5,1,56,0.006494545238531911,5,3,0.00034792206634992384,4,52.0,0.0012179412109146269,3,227,4.584459284530332e-05,4,97422.189,0.01967524488459554,3,1712,66.4,1.0,0.2,1,1,5,8539.0,2.9,1.37,3,3,12.0,2.4242424242424243,1,4.0,478.5,4,2
33,PALERMO,14,15.85,226534,2951,14296.089869892674,3,1,5,171,0.011961312607590915,5,10,0.0006994919653561939,5,596.0,0.002630951645227648,4,540,3.407827756425987e-05,2,2217272.2619999987,0.13992744366661164,5,5467,35.2,3.0,0.2,1,2,4,14337.6,0.5,0.25,5,1,467.0,29.463722397476342,5,1.0,26.4,5,1
34,VILLA RIACHUELO,8,4.23,14084,1430,3327.508755917628,1,5,1,18,0.005409452332165579,4,2,0.000601050259129509,5,0.0,0.0,1,75,1.7719622031654508e-05,1,72214.36299999997,0.017061482901555944,3,373,35.3,0.0,0.0,1,2,4,3353.3,3.1,1.46,3,3,6.0,1.4184397163120566,1,1.0,118.8,5,1
35,VILLA SOLDATI,8,8.69,46779,852,5384.221842303905,1,5,1,78,0.01448677307222985,5,1,0.0001857278599003827,3,0.0,0.0,1,74,8.517335050567328e-06,1,2860114.663,0.3291966874028576,5,1493,56.8,1.0,0.1,1,1,5,5376.9,0.8,0.4,5,1,2.0,0.23014959723820486,1,6.0,28380.0,2,4
36,VILLA PUEYRREDON,12,3.3,39654,2339,12004.579107157428,3,2,4,32,0.002665649475450648,2,1,8.330154610783275e-05,2,0.0,0.0,1,145,4.389630227815168e-05,3,120704.787,0.0365413366660132,4,664,20.3,1.0,0.3,3,5,1,12016.4,3.1,1.47,3,3,13.0,3.9393939393939394,2,0.0,0.0,5,1
37,VILLA DEVOTO,11,6.4,66521,2406,10386.634220549757,2,1,5,73,0.007028263290101322,5,1,9.627757931645646e-05,2,47.0,0.0007065437981990647,2,207,3.2321120903982204e-05,2,79363.31,0.012391841245653231,2,1028,18.1,1.0,0.2,1,5,1,10393.9,1.8,0.88,4,2,32.0,5.0,3,0.0,0.0,5,1
38,LINIERS,9,4.37,44132,2103,10088.654666056584,2,3,3,54,0.005352547171793255,4,1,9.912124392209731e-05,2,0.0,0.0,1,184,4.206273131864433e-05,3,60001.54699999999,0.013716461685673965,2,1010,31.2,0.0,0.0,1,3,3,10030.0,3.7,1.75,3,3,20.0,4.576659038901601,2,0.0,0.0,5,1
39,VERSALLES,10,1.41,13822,1910,9824.900429776899,2,4,2,11,0.0011196042218058167,1,1,0.00010178220198234698,2,0.0,0.0,1,45,3.198672546230361e-05,1,33870.617999999995,0.024075781315656863,3,268,26.9,1.0,0.7,5,3,3,9872.9,9.5,4.5,1,5,10.0,7.092198581560284,4,0.0,0.0,5,1
40,PUERTO MADERO,1,5.04,6726,5428,1334.2667817874535,1,1,5,4,0.002997901210312221,2,1,0.0007494753025780553,5,178.0,0.02646446625037169,4,27,5.3561110776481205e-06,1,2813245.700000001,0.558076165107998,5,129,25.9,1.0,0.2,1,4,2,1345.2,8.1,3.84,1,5,48.0,9.523809523809524,4,1.0,3960.0,3,3
41,MONSERRAT,1,2.2,39914,1852,18154.098827851616,5,4,2,57,0.003139786807404169,3,1,5.508397907726613e-05,1,174.0,0.0043593726512000785,4,187,8.505327656482066e-05,5,71474.021,0.03250855441343743,4,1375,45.7,1.0,0.5,4,2,4,18142.7,11.7,5.56,1,5,149.0,67.72727272727272,5,0.0,0.0,5,1
42,SAN NICOLAS,1,2.29,29273,1852,12788.511590196553,3,4,2,69,0.005395467604916135,4,3,0.00023458554803983188,4,304.0,0.010384996413076896,4,211,9.217968590617538e-05,5,70457.29600000003,0.030780717607006774,3,2063,94.3,2.0,0.9,5,1,5,12727.4,9.0,4.3,1,5,454.0,198.2532751091703,5,0.0,0.0,5,1
43,BELGRANO,13,8.0,126267,3351,15784.874930432432,4,1,5,104,0.00658858562125781,5,4,0.0002534071392791466,4,220.0,0.001742339645354685,3,257,3.212805291264649e-05,2,1278224.9419999998,0.15979330183206414,5,2238,25.8,2.0,0.3,3,4,2,15783.4,1.2,0.57,5,1,71.0,8.875,4,0.0,0.0,5,1
44,RECOLETA,2,6.32,157932,2666,25000.061100179722,5,1,5,115,0.0045999887575944075,4,20,0.0007999980447990276,5,358.0,0.002266798368918269,4,315,4.9863354143280734e-05,4,336024.82100000005,0.05319150682684291,4,3017,28.9,2.0,0.3,3,3,3,25068.6,1.4,0.65,5,1,327.0,51.74050632911392,5,1.0,501.6,4,2
45,RETIRO,1,4.51,65413,2401,14495.278192560083,3,2,4,61,0.004208266939734151,3,3,0.00020696394785577792,3,184.0,0.0028128965190405576,4,256,5.672865053269811e-05,5,141929.08399999994,0.03145095861977325,4,1843,48.3,1.0,0.2,1,1,5,14536.2,2.4,1.12,4,2,109.0,24.16851441241685,5,3.0,29040.0,2,4
46,NUÃ‘EZ,13,4.42,51949,2835,11742.01180537089,2,1,5,52,0.004428542643451846,3,1,8.51642816048432e-05,2,64.0,0.0012319775164103255,3,105,2.373310823238068e-05,1,411186.015,0.09294021140606004,5,1041,29.2,1.0,0.2,1,3,3,11806.6,2.5,1.2,4,2,28.0,6.334841628959276,3,0.0,0.0,5,1
47,LA BOCA,4,5.04,45113,1335,8957.673965010279,1,5,1,54,0.00602835068690045,5,5,0.0005581806191574491,5,108.0,0.0023939884290559267,4,174,3.4549581493400764e-05,2,102393.472,0.02033133106469109,3,1058,40.4,1.0,0.2,1,2,4,9022.6,1.6,0.75,4,2,44.0,8.73015873015873,4,4.0,801.9,4,2
